"DefaultSPUID","DefaultForestTypeID","A","B","a_nonmerch","b_nonmerch","k_nonmerch","cap_nonmerch","a_sap","b_sap","k_sap","cap_sap","a1","a2","a3","b1","b2","b3","c1","c2","c3","min_volume","max_volume","low_stemwood_prop","high_stemwood_prop","low_stembark_prop","high_stembark_prop","low_branches_prop","high_branches_prop","low_foliage_prop","high_foliage_prop"
25,1,0.84,0.86,9.28,-1.29,0.99,2.02,1.00,0.00,0.00,1.00,-1.85,-4.392e-04,-0.04,-1.06,-1.517e-04,-0.17,-0.55,-6.2e-05,-0.33,0.16,499.74,0.57,0.78,0.08,0.07,0.14,0.08,0.19,0.05
25,2,0.63,0.92,12.25,-1.64,1.01,1.85,1.00,0.00,0.00,1.00,-1.51,3.14e-04,-0.05,-0.99,2.441e-04,-0.16,-0.16,8.08e-04,-0.47,0.31,529.19,0.53,0.71,0.10,0.12,0.15,0.10,0.20,0.04
25,3,0.59,0.94,11.79,-1.40,0.99,2.10,1.00,0.00,0.00,1.00,-1.23,2.12e-04,-0.09,-1.15,-9.56e-05,-0.12,-0.29,9.57e-04,-0.59,0.36,703.92,0.56,0.74,0.14,0.13,0.14,0.09,0.15,0.02
26,1,1.31,0.81,9.28,-1.29,0.99,2.02,1.00,0.00,0.00,1.00,-2.30,-1.201e-04,0.02,-1.97,-4.089e-04,-0.03,-1.61,-9.21e-04,-0.11,11.73,479.00,0.72,0.79,0.07,0.08,0.09,0.07,0.10,0.04
26,2,0.65,0.91,12.25,-1.64,1.01,1.85,1.00,0.00,0.00,1.00,-1.35,6.226e-04,-0.11,-2.12,-9.877e-04,0.08,0.23,1.5e-03,-0.59,76.62,387.74,0.70,0.73,0.11,0.12,0.11,0.09,0.07,0.04
26,3,0.95,0.85,11.79,-1.40,0.99,2.10,1.00,0.00,0.00,1.00,-1.85,-5.552e-04,0.07,-2.06,-1.233e-03,0.09,-2.21,-1.741e-03,-0.01,33.08,393.20,0.67,0.71,0.13,0.14,0.11,0.10,0.06,0.03
27,1,1.31,0.81,9.28,-1.29,0.99,2.02,1.00,0.00,0.00,1.00,-2.30,-1.201e-04,0.02,-1.97,-4.089e-04,-0.03,-1.61,-9.21e-04,-0.11,11.73,479.00,0.72,0.79,0.07,0.08,0.09,0.07,0.10,0.04
27,2,0.65,0.91,12.25,-1.64,1.01,1.85,1.00,0.00,0.00,1.00,-1.35,6.226e-04,-0.11,-2.12,-9.877e-04,0.08,0.23,1.5e-03,-0.59,76.62,387.74,0.70,0.73,0.11,0.12,0.11,0.09,0.07,0.04
27,3,0.95,0.85,11.79,-1.40,0.99,2.10,1.00,0.00,0.00,1.00,-1.85,-5.552e-04,0.07,-2.06,-1.233e-03,0.09,-2.21,-1.741e-03,-0.01,33.08,393.20,0.67,0.71,0.13,0.14,0.11,0.10,0.06,0.03
28,1,0.61,0.92,3.21,-0.82,0.95,1.94,1.00,0.00,0.00,1.00,-1.49,2.165e-04,-0.09,-1.20,2.463e-04,-0.13,0.14,6.9e-04,-0.45,0.10,1635.78,0.50,0.69,0.09,0.10,0.12,0.11,0.28,0.08
28,2,0.40,0.99,11.99,-1.38,0.99,2.31,1.00,0.00,0.00,1.00,-1.10,1.446e-04,-0.10,-0.14,3.334e-04,-0.32,-0.08,7.37e-04,-0.48,0.25,1725.57,0.45,0.70,0.12,0.13,0.23,0.09,0.18,0.06
28,3,0.47,0.97,15.71,-1.56,0.99,2.04,1.00,0.00,0.00,1.00,-0.74,1.428e-04,-0.11,-1.05,5.541e-04,-0.24,-0.37,1.145e-03,-0.65,0.27,1739.77,0.53,0.69,0.21,0.17,0.12,0.10,0.12,0.02
29,1,0.61,0.92,2.32,-1.16,0.99,2.16,1.00,0.00,0.00,1.00,-1.49,2.165e-04,-0.09,-1.20,2.463e-04,-0.13,0.14,6.9e-04,-0.45,0.10,1635.78,0.50,0.69,0.09,0.10,0.12,0.11,0.28,0.08
29,2,0.40,0.99,11.99,-1.38,0.99,2.31,1.00,0.00,0.00,1.00,-1.10,1.446e-04,-0.10,-0.14,3.334e-04,-0.32,-0.08,7.37e-04,-0.48,0.25,1725.57,0.45,0.70,0.12,0.13,0.23,0.09,0.18,0.06
29,3,0.47,0.97,15.71,-1.56,0.99,2.04,1.00,0.00,0.00,1.00,-0.74,1.428e-04,-0.11,-1.05,5.541e-04,-0.24,-0.37,1.145e-03,-0.65,0.27,1739.77,0.53,0.69,0.21,0.17,0.12,0.10,0.12,0.02
30,1,0.61,0.92,2.32,-1.16,0.99,2.16,1.00,0.00,0.00,1.00,-1.49,2.165e-04,-0.09,-1.20,2.463e-04,-0.13,0.14,6.9e-04,-0.45,0.10,1635.78,0.50,0.69,0.09,0.10,0.12,0.11,0.28,0.08
30,2,0.40,0.99,11.99,-1.38,0.99,2.31,1.00,0.00,0.00,1.00,-1.10,1.446e-04,-0.10,-0.14,3.334e-04,-0.32,-0.08,7.37e-04,-0.48,0.25,1725.57,0.45,0.70,0.12,0.13,0.23,0.09,0.18,0.06
30,3,0.47,0.97,15.71,-1.56,0.99,2.04,1.00,0.00,0.00,1.00,-0.74,1.428e-04,-0.11,-1.05,5.541e-04,-0.24,-0.37,1.145e-03,-0.65,0.27,1739.77,0.53,0.69,0.21,0.17,0.12,0.10,0.12,0.02
31,1,1.13,0.81,2.35,-0.28,0.45,2.36,0.00,0.00,1.00,1.00,-1.91,-2.66e-04,-1.74e-03,-2.73,-2.5689e-03,0.14,-1.72,6.3e-05,-0.11,0.21,509.04,0.72,0.79,0.10,0.10,0.05,0.03,0.10,0.06
31,2,0.90,0.86,100.00,-1.44,0.93,1.38,0.00,0.00,1.00,1.00,-5.33,-3.0037e-03,0.77,-1.18,-2.1472e-03,-0.13,-1.66,1.163e-03,-0.25,82.95,450.43,0.75,0.79,0.09,0.11,0.10,0.03,0.05,0.05
31,3,0.57,0.93,20.51,-0.93,0.77,2.66,0.00,0.00,1.00,1.00,-1.51,-1.543e-04,-4.31e-03,-7.61,-3.3172e-03,1.14,-4.44,-3.085e-03,0.33,28.24,451.74,0.78,0.74,0.16,0.14,0.01,0.09,0.02,0.01
32,1,0.61,0.94,15.28,-0.72,0.65,5.67,0.00,0.00,1.00,1.00,-1.53,3.56e-05,-0.12,-1.56,-5.977e-04,-0.06,-1.32,-1.265e-03,-0.15,0.52,658.35,0.63,0.80,0.11,0.08,0.12,0.07,0.13,0.03
32,2,0.50,0.96,5.83,-0.61,0.75,3.28,0.00,0.00,1.00,1.00,-1.30,2.92e-05,-0.08,-1.52,-8.701e-04,-0.01,-1.16,-3.06e-04,-0.27,0.91,802.90,0.61,0.77,0.14,0.12,0.12,0.07,0.11,0.02
32,3,0.45,0.99,9.16,-0.66,0.67,4.47,0.00,0.00,1.00,1.00,-1.15,-2.116e-04,-0.03,-2.89,-8.582e-04,0.20,-2.47,-1.22e-04,-0.22,0.66,625.99,0.69,0.73,0.20,0.15,0.05,0.09,0.04,0.01
33,1,0.61,0.94,15.28,-0.72,0.65,5.67,0.00,0.00,1.00,1.00,-1.53,3.56e-05,-0.12,-1.56,-5.977e-04,-0.06,-1.32,-1.265e-03,-0.15,0.52,658.35,0.63,0.80,0.11,0.08,0.12,0.07,0.13,0.03
33,2,0.50,0.96,5.83,-0.61,0.75,3.28,0.00,0.00,1.00,1.00,-1.30,2.92e-05,-0.08,-1.52,-8.701e-04,-0.01,-1.16,-3.06e-04,-0.27,0.91,802.90,0.61,0.77,0.14,0.12,0.12,0.07,0.11,0.02
33,3,0.45,0.99,9.16,-0.66,0.67,4.47,0.00,0.00,1.00,1.00,-1.15,-2.116e-04,-0.03,-2.89,-8.582e-04,0.20,-2.47,-1.22e-04,-0.22,0.66,625.99,0.69,0.73,0.20,0.15,0.05,0.09,0.04,0.01
